Rarity,Item Name,Effect,2D Pixel Art Prompt,UI Border Style
Normal,Garden Rake,Highlights cells with only 2 candidates in a row/col.,"16x16 pixel art, wooden zen rake, top-down, light wood texture, dark panel bg, 1-pixel solid silver border",1px Silver (#C0C0C0)
Normal,Offering Bowl,Spend 5 HP to reveal the correct number for one cell.,"16x16 pixel art, black tea bowl, white rice, glowing blue center, dark panel bg, 1-pixel solid silver border",1px Silver (#C0C0C0)
Normal,Pruning Shears,Removes 1 'impossible' candidate from a 3x3 box.,"16x16 pixel art, iron bonsai shears, crossed blades, metallic, dark panel bg, 1-pixel solid silver border",1px Silver (#C0C0C0)
Normal,Zen Sand Sifter,Highlights 'Hidden Pairs' in the current row.,"16x16 pixel art, square wood sifter, fine mesh, white sand grains, dark panel bg, 1-pixel solid silver border",1px Silver (#C0C0C0)
Rare,Ginkgo Leaf,Highlights all instances/constraints of one number.,"16x16 pixel art, yellow fan leaf, golden glow outline, dark panel bg, 1-pixel solid gold border",1px Gold (#FFD700)
Rare,Rice Paper Umbrella,Protects Zen (HP) from the next 2 mistakes.,"16x16 pixel art, folded washi umbrella, red/white pattern, dark panel bg, 1-pixel solid gold border",1px Gold (#FFD700)
Rare,Temple Incense,Correct cells for a number pulse for 5 moves.,"16x16 pixel art, bronze incense burner, purple smoke line, dark panel bg, 1-pixel solid gold border",1px Gold (#FFD700)
Epic,Koi Dragon Scale,Instantly completes the most-filled line or box.,"16x16 pixel art, orange iridescent scale, jagged edge, dark panel bg, 1-pixel glowing cyan border",1px Cyan Glow (#00FFFF)
Epic,Golden Kintsugi Jar,Highlights all current mistakes in red (no HP penalty).,"16x16 pixel art, cracked black jar, liquid gold veins, dark panel bg, 1-pixel glowing purple border",1px Purple Glow (#BF40BF)
Epic,Silk Fan,Swap positions of two placed numbers.,"16x16 pixel art, open silk fan, cherry blossom motif, dark panel bg, 1-pixel glowing cyan border",1px Cyan Glow (#00FFFF)
